conoces_proyecto,conoces_pgd,conoces_hipotesis,conoces_datos,conoces_codigo,conoces_instrumentos,conoces_resultados1,conoces_resultados2,animas,importante_preregistrar,importante_instrumentos,importante_datosocodigo,importante_resultados1,importante_resultados2
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Importante,Muy importante,Neutral,Muy importante
Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Importante,Poco importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Poco importante,Neutral,Neutral,Neutral,Neutral
He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Importante,Importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Neutral,Neutral,Importante,Muy importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Importante,Neutral,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,publicar resultados en revistas de acceso abierto?,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,publicar resultados en revistas de acceso abierto?,Neutral,Poco importante,Importante,Muy importante,Neutral
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Poco importante,Neutral,Poco importante,Poco importante
No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Importante,Muy importante,Importante,Muy importante
He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,No aplica/No sé/Prefiero no contestar,No aplica/No sé/Prefiero no contestar,No aplica/No sé/Prefiero no contestar,No aplica/No sé/Prefiero no contestar,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,NA,NA,"publicar los instrumentos usados para recolectar datos?, publicar resultados en revistas de acceso abierto?",Importante,Importante,Importante,Importante,Importante
Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,publicar resultados en revistas de acceso abierto?,Muy importante,Muy importante,Muy importante,Muy importante,Neutral
No conozco esta práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",No sé,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,NA,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",NA,NA,NA,NA,NA
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Neutral,Importante,Importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Neutral,Muy importante,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Neutral,Importante,Muy importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"pre-registrar sus proyectos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Poco importante,Importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?",Importante,Importante,Importante,Importante,Importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Importante,Importante,Importante
NA,NA,NA,NA,NA,NA,NA,NA,NA,Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,No conozco esta práctica,"publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"publicar datos o código en repositorios abiertos?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Importante,Muy importante,Importante,Importante
Conozco la práctica pero nunca la he aplicado,No aplica/No sé/Prefiero no contestar,No aplica/No sé/Prefiero no contestar,No aplica/No sé/Prefiero no contestar,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Neutral,Muy importante,Muy importante,No sé
NA,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",NA,NA,NA,NA,NA
Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,No conozco esta práctica,Conozco la práctica pero nunca la he aplicado,No aplica/No sé/Prefiero no contestar,Conozco la práctica pero nunca la he aplicado,publicar datos o código en repositorios abiertos?,Neutral,Poco importante,Muy importante,Muy importante,Muy importante
Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,"difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,Conozco la práctica pero nunca la he aplicado,He aplicado la práctica,He aplicado la práctica,He aplicado la práctica,"pre-registrar sus proyectos?, publicar los instrumentos usados para recolectar datos?, publicar datos o código en repositorios abiertos?, publicar resultados en revistas de acceso abierto?, difundir resultados en medios como blogs, publicaciones en redes sociales, o podcasts, entre otros?",Muy importante,Muy importante,Muy importante,Muy importante,Muy importante
