comunidad,n,por
Women and minority genders,31,48.4
People from disadvantaged socioeconomic backgrounds,24,37.5
Indigenous peoples,4,6.2
People with disabilities,2,3.1
Afro-descendant population,2,3.1
University administrative staff,1,1.6
