accesibilidad,n,por,accesibilidad_min
Record and sharing the video,33,76.74418604651163,record and sharing the video
Speak with a clear and calm voice,6,13.953488372093023,speak with a clear and calm voice
Provide written information,2,4.651162790697675,provide written information
Have a stable internet connection,1,2.3255813953488373,have a stable internet connection
Provide live captions,1,2.3255813953488373,provide live captions
