Encuentro,n.x,n.y,final
Encuentro 1,52,40,76.92
Encuentro 2,39,28,71.79
Encuentro 3,38,31,81.58
Encuentro 4,36,28,77.78
Encuentro 5,31,23,74.19
Encuentro 6,36,23,63.89
